type	year	n
Cases of single	1850	45598
Cases of twins	1850	625
Cases of triplets	1850	11
Cases of single	1851	44161
Cases of twins	1851	585
Cases of triplets	1851	9
Cases of single	1852	49108
Cases of twins	1852	754
Cases of triplets	1852	14
Cases of single	1853	47442
Cases of twins	1853	682
Cases of triplets	1853	17
Cases of single	1854	49541
Cases of twins	1854	724
Cases of triplets	1854	9
Cases of single	1855	48981
Cases of twins	1855	736
Cases of triplets	1855	9
Cases of single	1856	50255
Cases of twins	1856	785
Cases of triplets	1856	6
Cases of single	1857	51818
Cases of twins	1857	766
Cases of triplets	1857	9
Cases of single	1858	52835
Cases of twins	1858	784
Cases of triplets	1858	8
Cases of single	1859	54189
Cases of twins	1859	779
Cases of triplets	1859	15
Cases of single	1860	53265
Cases of twins	1860	754
Cases of triplets	1860	8
Cases of single	1861	52233
Cases of twins	1861	742
Cases of triplets	1861	10
Cases of single	1862	51539
Cases of twins	1862	724
Cases of triplets	1862	8
Cases of single	1863	52249
Cases of twins	1863	827
Cases of triplets	1863	12
Cases of single	1864	51349
Cases of twins	1864	754
Cases of triplets	1864	9
Cases of single	1865	53736
Cases of twins	1865	840
Cases of triplets	1865	6
Cases of single	1866	55727
Cases of twins	1866	793
Cases of triplets	1866	12
Cases of quadruplets	1866	1
Cases of single	1867	53246
Cases of twins	1867	748
Cases of triplets	1867	7
Cases of single	1868	55036
Cases of twins	1868	743
Cases of triplets	1868	8
Cases of single	1869	52595
Cases of twins	1869	723
Cases of triplets	1869	5
Cases of single	1870	54914
Cases of twins	1870	770
Cases of triplets	1870	6
Cases of single	1871	54908
Cases of twins	1871	736
Cases of triplets	1871	9
Cases of single	1872	55724
Cases of twins	1872	772
Cases of triplets	1872	2
Cases of single	1873	56925
Cases of twins	1873	829
Cases of triplets	1873	11
Cases of single	1874	57757
Cases of twins	1874	761
Cases of triplets	1874	15
Cases of single	1875	60144
Cases of twins	1875	804
Cases of triplets	1875	13
Cases of single	1876	62318
Cases of twins	1876	814
Cases of triplets	1876	7
Cases of single	1877	62161
Cases of twins	1877	787
Cases of triplets	1877	11
Cases of quadruplets	1877	1
Cases of single	1878	61536
Cases of twins	1878	783
Cases of triplets	1878	14
Cases of single	1879	62659
Cases of twins	1879	837
Cases of triplets	1879	10
Cases of single	1880	62748
Cases of twins	1880	876
Cases of triplets	1880	9
Cases of single	1881	64436
Cases of twins	1881	831
Cases of triplets	1881	13
Cases of single	1882	65292
Cases of twins	1882	834
Cases of triplets	1882	6
Cases of single	1883	64495
Cases of twins	1883	937
Cases of triplets	1883	7
Cases of quadruplets	1883	1
Cases of single	1884	68349
Cases of twins	1884	948
Cases of triplets	1884	9
Cases of single	1885	67715
Cases of twins	1885	880
Cases of triplets	1885	14
Cases of single	1886	68107
Cases of twins	1886	951
Cases of triplets	1886	7
Cases of single	1887	67659
Cases of twins	1887	864
Cases of triplets	1887	10
Cases of single	1888	67277
Cases of twins	1888	955
Cases of triplets	1888	11
Cases of single	1889	67394
Cases of twins	1889	906
Cases of triplets	1889	9
Cases of quadruplets	1889	1
Cases of single	1890	66214
Cases of twins	1890	932
Cases of triplets	1890	11
Cases of single	1891	67690
Cases of twins	1891	969
Cases of triplets	1891	12
Cases of single	1892	65243
Cases of twins	1892	934
Cases of triplets	1892	17
Cases of single	1893	68278
Cases of twins	1893	980
Cases of triplets	1893	14
Cases of single	1894	68047
Cases of twins	1894	948
Cases of triplets	1894	10
Cases of quadruplets	1894	1
Cases of single	1895	68614
Cases of twins	1895	976
Cases of triplets	1895	10
Cases of single	1896	70082
Cases of twins	1896	940
Cases of triplets	1896	10
Cases of single	1897	69466
Cases of twins	1897	946
Cases of triplets	1897	6
Cases of single	1898	71511
Cases of twins	1898	975
Cases of triplets	1898	16
Cases of single	1899	71253
Cases of twins	1899	920
Cases of triplets	1899	11
Cases of single	1900	71841
Cases of twins	1900	1003
Cases of triplets	1900	10
Cases of single	1901	72990
Cases of twins	1901	1006
Cases of triplets	1901	10
Cases of single	1902	72710
Cases of twins	1902	933
Cases of triplets	1902	9
Cases of single	1903	72070
Cases of twins	1903	991
Cases of triplets	1903	13
Cases of quadruplets	1903	1
Cases of single	1904	73350
Cases of twins	1904	1042
Cases of triplets	1904	11
Cases of single	1905	72767
Cases of twins	1905	1030
Cases of triplets	1905	12
Cases of single	1906	73747
Cases of twins	1906	1073
Cases of triplets	1906	14
Cases of single	1907	73921
Cases of twins	1907	1101
Cases of triplets	1907	10
Cases of single	1908	75931
Cases of twins	1908	1060
Cases of triplets	1908	9
Cases of single	1909	75776
Cases of twins	1909	1152
Cases of triplets	1909	12
Cases of single	1910	74810
Cases of twins	1910	1128
Cases of triplets	1910	5
Cases of single	1911	73371
Cases of twins	1911	1131
Cases of triplets	1911	17
Cases of single	1912	74073
Cases of twins	1912	1161
Cases of triplets	1912	6
Cases of single	1913	71826
Cases of twins	1913	1177
Cases of triplets	1913	10
Cases of single	1914	72736
Cases of twins	1914	1133
Cases of triplets	1914	7
Cases of single	1915	69731
Cases of twins	1915	1094
Cases of triplets	1915	16
Cases of single	1916	71131
Cases of twins	1916	1099
Cases of triplets	1916	13
Cases of single	1917	69849
Cases of twins	1917	1109
Cases of triplets	1917	11
Cases of single	1918	72093
Cases of twins	1918	1131
Cases of triplets	1918	11
Cases of single	1919	68303
Cases of twins	1919	1045
Cases of triplets	1919	15
Cases of single	1920	77666
Cases of twins	1920	1261
Cases of triplets	1920	13
Cases of single	1921	78154
Cases of twins	1921	1309
Cases of triplets	1921	12
Cases of quadruplets	1921	2
Cases of single	1922	73392
Cases of twins	1922	1135
Cases of triplets	1922	18
Cases of single	1923	74229
Cases of twins	1923	1196
Cases of triplets	1923	15
Cases of single	1924	73239
Cases of twins	1924	1176
Cases of triplets	1924	16
Cases of single	1925	71502
Cases of twins	1925	1051
Cases of triplets	1925	10
Cases of single	1926	70043
Cases of twins	1926	1146
Cases of triplets	1926	14
Cases of single	1927	67394
Cases of twins	1927	1099
Cases of triplets	1927	10
Cases of single	1928	67980
Cases of twins	1928	1071
Cases of triplets	1928	10
Cases of single	1929	64703
Cases of twins	1929	1093
Cases of triplets	1929	9
Cases of single	1930	65701
Cases of twins	1930	1083
Cases of triplets	1930	8
Cases of single	1931	63854
Cases of twins	1931	975
Cases of triplets	1931	12
Cases of single	1932	64095
Cases of twins	1932	1022
Cases of triplets	1932	10
Cases of quadruplets	1932	1
Cases of single	1933	62523
Cases of twins	1933	951
Cases of triplets	1933	6
Cases of single	1934	64734
Cases of twins	1934	1027
Cases of triplets	1934	11
Cases of single	1935	64746
Cases of twins	1935	1058
Cases of triplets	1935	14
Cases of single	1936	66180
Cases of twins	1936	976
Cases of triplets	1936	13
Cases of quadruplets	1936	1
Cases of single	1937	67070
Cases of twins	1937	1045
Cases of triplets	1937	14
Cases of single	1938	68225
Cases of twins	1938	981
Cases of triplets	1938	13
Cases of single	1939	67704
Cases of twins	1939	1002
Cases of triplets	1939	7
Cases of quadruplets	1939	3
Cases of single	1940	69725
Cases of twins	1940	1090
Cases of triplets	1940	10
Cases of single	1941	70903
Cases of twins	1941	1025
Cases of triplets	1941	10
Cases of quadruplets	1941	1
Cases of single	1942	78913
Cases of twins	1942	1147
Cases of triplets	1942	12
Cases of single	1943	83514
Cases of twins	1943	1300
Cases of triplets	1943	12
Cases of single	1944	89776
Cases of twins	1944	1314
Cases of triplets	1944	16
Cases of single	1945	94021
Cases of twins	1945	1439
Cases of triplets	1945	15
Cases of single	1946	95099
Cases of twins	1946	1397
Cases of triplets	1946	17
Cases of single	1947	90579
Cases of twins	1947	1353
Cases of triplets	1947	19
Cases of single	1948	83954
Cases of twins	1948	1251
Cases of triplets	1948	9
Cases of single	1949	79049
Cases of twins	1949	1099
Cases of triplets	1949	12
Cases of quadruplets	1949	1
Cases of single	1950	78885
Cases of twins	1950	1068
Cases of triplets	1950	12
Cases of single	1951	75940
Cases of twins	1951	1008
Cases of triplets	1951	10
Cases of single	1952	76196
Cases of twins	1952	1046
Cases of triplets	1952	9
Cases of single	1953	77627
Cases of twins	1953	1061
Cases of triplets	1953	8
Cases of single	1954	75837
Cases of twins	1954	1006
Cases of triplets	1954	5
Cases of single	1955	76158
Cases of twins	1955	1031
Cases of triplets	1955	7
Cases of quadruplets	1955	1
Cases of single	1956	76172
Cases of twins	1956	953
Cases of triplets	1956	3
Cases of single	1957	74499
Cases of twins	1957	945
Cases of triplets	1957	14
Cases of single	1958	73921
Cases of twins	1958	958
Cases of triplets	1958	6
Cases of single	1959	73134
Cases of twins	1959	922
Cases of triplets	1959	15
Cases of single	1960	75209
Cases of twins	1960	901
Cases of triplets	1960	8
Cases of single	1961	75518
Cases of twins	1961	931
Cases of triplets	1961	10
Cases of single	1962	76838
Cases of twins	1962	937
Cases of triplets	1962	10
Cases of single	1963	81525
Cases of twins	1963	909
Cases of triplets	1963	6
Cases of single	1964	82235
Cases of twins	1964	997
Cases of triplets	1964	11
Cases of single	1965	84761
Cases of twins	1965	970
Cases of triplets	1965	11
Cases of quadruplets	1965	1
Cases of single	1966	87289
Cases of twins	1966	947
Cases of triplets	1966	8
Cases of single	1967	80366
Cases of twins	1967	864
Cases of triplets	1967	9
Cases of quadruplets	1967	1
Cases of single	1968	73537
Cases of twins	1968	812
Cases of triplets	1968	6
Cases of single	1969	70414
Cases of twins	1969	740
Cases of triplets	1969	4
Cases of quadruplets	1969	1
Cases of single	1970	70053
Cases of twins	1970	666
Cases of triplets	1970	7
Cases of single	1971	74408
Cases of twins	1971	764
Cases of triplets	1971	13
Cases of quadruplets	1971	1
Cases of single	1972	74669
Cases of twins	1972	684
Cases of triplets	1972	15
Cases of single	1973	70998
Cases of twins	1973	702
Cases of triplets	1973	4
Cases of quadruplets	1973	1
Cases of single	1974	70350
Cases of twins	1974	700
Cases of triplets	1974	6
Cases of single	1975	71127
Cases of twins	1975	691
Cases of triplets	1975	15
Cases of single	1976	64434
Cases of twins	1976	623
Cases of triplets	1976	6
Cases of single	1977	61036
Cases of twins	1977	593
Cases of triplets	1977	7
Cases of quadruplets	1977	1
Cases of single	1978	61129
Cases of twins	1978	622
Cases of triplets	1978	9
Cases of single	1979	58509
Cases of twins	1979	626
Cases of triplets	1979	4
Cases of single	1980	56364
Cases of twins	1980	582
Cases of triplets	1980	6
Cases of single	1981	52311
Cases of twins	1981	519
Cases of triplets	1981	7
Cases of single	1982	51845
Cases of twins	1982	532
Cases of triplets	1982	6
Cases of single	1983	50026
Cases of twins	1983	518
Cases of triplets	1983	7
Cases of quadruplets	1983	1
Cases of single	1984	50875
Cases of twins	1984	567
Cases of triplets	1984	7
Cases of single	1985	52794
Cases of twins	1985	587
Cases of triplets	1985	7
Cases of single	1986	54376
Cases of twins	1986	577
Cases of triplets	1986	8
Cases of single	1987	55251
Cases of twins	1987	617
Cases of triplets	1987	8
Cases of single	1988	57776
Cases of twins	1988	662
Cases of triplets	1988	12
Cases of single	1989	60232
Cases of twins	1989	690
Cases of triplets	1989	18
Cases of single	1990	62252
Cases of twins	1990	712
Cases of triplets	1990	17
Cases of quadruplets	1990	1
Cases of single	1991	62907
Cases of twins	1991	840
Cases of triplets	1991	21
Cases of quadruplets	1991	1
Cases of single	1992	66121
Cases of twins	1992	923
Cases of triplets	1992	30
Cases of quadruplets	1992	2
Cases of single	1993	65544
Cases of twins	1993	1022
Cases of triplets	1993	27
Cases of quadruplets	1993	2
Cases of single	1994	67589
Cases of twins	1994	1137
Cases of triplets	1994	36
Cases of quadruplets	1994	1
Cases of single	1995	67726
Cases of twins	1995	1123
Cases of triplets	1995	39
Cases of single	1996	65430
Cases of twins	1996	1207
Cases of triplets	1996	38
Cases of quadruplets	1996	1
Cases of single	1997	65443
Cases of twins	1997	1222
Cases of triplets	1997	27
Cases of quadruplets	1997	1
Cases of single	1998	63863
Cases of twins	1998	1252
Cases of triplets	1998	25
Cases of quadruplets	1998	2
Cases of single	1999	63943
Cases of twins	1999	1256
Cases of triplets	1999	25
Cases of single	2000	64692
Cases of twins	2000	1286
Cases of triplets	2000	20
Cases of single	2001	62751
Cases of twins	2001	1390
Cases of triplets	2001	22
Cases of single	2002	61457
Cases of twins	2002	1356
Cases of triplets	2002	13
Cases of quadruplets	2002	1
Cases of single	2003	61978
Cases of twins	2003	1368
Cases of triplets	2003	23
Cases of single	2004	61996
Cases of twins	2004	1400
Cases of triplets	2004	30
Cases of quadruplets	2004	1
Cases of single	2005	61653
Cases of twins	2005	1404
Cases of triplets	2005	27
Cases of quadruplets	2005	1
Cases of single	2006	62353
Cases of twins	2006	1415
Cases of triplets	2006	15
Cases of single	2007	61586
Cases of twins	2007	1372
Cases of triplets	2007	18
Cases of single	2008	62411
Cases of twins	2008	1431
Cases of triplets	2008	14
Cases of single	2009	60328
Cases of twins	2009	1345
Cases of triplets	2009	15
Cases of single	2010	60982
Cases of twins	2010	1330
Cases of triplets	2010	5
Cases of single	2011	56715
Cases of twins	2011	1237
Cases of triplets	2011	17
Cases of quadruplets	2011	1
Cases of single	2012	55669
Cases of twins	2012	1219
Cases of triplets	2012	10
Cases of single	2013	53718
Cases of twins	2013	1163
Cases of triplets	2013	13
Cases of single	2014	54949
Cases of twins	2014	1058
Cases of triplets	2014	9
Cases of single	2015	56443
Cases of twins	2015	961
Cases of triplets	2015	10
Cases of single	2016	59739
Cases of twins	2016	1042
Cases of triplets	2016	9
Cases of single	2017	59544
Cases of twins	2017	1037
Cases of triplets	2017	8
Cases of single	2018	59810
Cases of twins	2018	928
Cases of triplets	2018	3
Cases of quadruplets	2018	1
